,Human_Path_Length,Shortest_Path_Length,Ratio
166,4,4,1.0
167,4,4,1.0
168,5,4,1.25
169,4,4,1.0
170,4,4,1.0
171,10,4,2.5
172,5,4,1.25
173,4,4,1.0
174,5,4,1.25
175,4,4,1.0
176,7,4,1.75
177,4,4,1.0
178,5,4,1.25
179,4,4,1.0
180,12,4,3.0
181,6,4,1.5
182,4,4,1.0
183,4,4,1.0
184,6,4,1.5
185,6,4,1.5
186,4,4,1.0
187,4,4,1.0
188,8,4,2.0
189,4,4,1.0
190,4,4,1.0
191,7,4,1.75
192,4,4,1.0
193,4,4,1.0
194,4,4,1.0
195,4,4,1.0
196,4,4,1.0
197,10,4,2.5
198,14,4,3.5
199,4,4,1.0
200,4,4,1.0
201,6,4,1.5
202,9,5,1.8
203,9,5,1.8
204,2,2,1.0
205,4,2,2.0
206,3,2,1.5
207,7,2,3.5
208,4,2,2.0
209,4,2,2.0
210,3,2,1.5
211,4,2,2.0
212,3,2,1.5
213,3,2,1.5
214,2,2,1.0
215,4,2,2.0
216,4,2,2.0
217,3,2,1.5
218,3,2,1.5
219,5,2,2.5
220,3,2,1.5
221,3,2,1.5
222,3,2,1.5
223,2,2,1.0
224,3,2,1.5
225,3,2,1.5
226,3,2,1.5
227,2,2,1.0
228,2,2,1.0
229,4,2,2.0
230,3,2,1.5
231,4,2,2.0
232,4,2,2.0
233,3,2,1.5
234,2,2,1.0
235,3,2,1.5
236,4,2,2.0
237,5,2,2.5
238,2,2,1.0
239,3,2,1.5
240,4,2,2.0
241,2,2,1.0
242,3,2,1.5
243,2,2,1.0
244,4,2,2.0
245,3,2,1.5
246,3,2,1.5
247,2,2,1.0
248,5,1,5.0
249,4,3,1.3333333333333333
250,1,1,1.0
251,4,3,1.3333333333333333
252,4,3,1.3333333333333333
253,23,3,7.666666666666667
254,11,3,3.6666666666666665
255,4,3,1.3333333333333333
256,4,3,1.3333333333333333
257,10,3,3.3333333333333335
258,5,3,1.6666666666666667
259,6,3,2.0
260,6,3,2.0
261,3,3,1.0
262,4,3,1.3333333333333333
263,4,3,1.3333333333333333
264,4,3,1.3333333333333333
265,4,3,1.3333333333333333
266,5,3,1.6666666666666667
267,11,3,3.6666666666666665
268,4,3,1.3333333333333333
269,4,3,1.3333333333333333
270,6,3,2.0
271,5,3,1.6666666666666667
272,6,2,3.0
273,16,2,8.0
274,2,2,1.0
275,9,2,4.5
276,4,2,2.0
277,4,2,2.0
278,3,2,1.5
279,5,2,2.5
280,2,2,1.0
281,2,2,1.0
282,9,2,4.5
283,4,2,2.0
284,6,2,3.0
285,4,2,2.0
286,4,2,2.0
287,6,2,3.0
288,4,2,2.0
289,6,2,3.0
290,6,2,3.0
291,3,2,1.5
292,2,2,1.0
293,3,2,1.5
294,6,3,2.0
295,8,3,2.6666666666666665
296,1,1,1.0
297,7,3,2.3333333333333335
298,5,3,1.6666666666666667
299,8,3,2.6666666666666665
300,11,3,3.6666666666666665
301,4,3,1.3333333333333333
302,2,2,1.0
303,4,3,1.3333333333333333
304,6,3,2.0
305,3,3,1.0
306,5,3,1.6666666666666667
307,3,2,1.5
308,4,3,1.3333333333333333
309,3,3,1.0
310,4,3,1.3333333333333333
311,7,3,2.3333333333333335
312,2,2,1.0
313,1,1,1.0
314,5,3,1.6666666666666667
315,4,3,1.3333333333333333
316,3,3,1.0
317,16,3,5.333333333333333
318,7,3,2.3333333333333335
319,4,3,1.3333333333333333
320,4,3,1.3333333333333333
321,13,3,4.333333333333333
322,4,3,1.3333333333333333
323,6,3,2.0
324,4,3,1.3333333333333333
325,7,3,2.3333333333333335
326,5,3,1.6666666666666667
327,6,3,2.0
328,6,4,1.5
329,1,1,1.0
330,1,1,1.0
331,1,1,1.0
332,3,2,1.5
333,2,1,2.0
334,3,2,1.5
335,3,3,1.0
336,4,3,1.3333333333333333
337,4,3,1.3333333333333333
338,7,3,2.3333333333333335
339,3,3,1.0
340,3,3,1.0
341,4,3,1.3333333333333333
342,3,3,1.0
343,3,3,1.0
344,5,3,1.6666666666666667
345,4,3,1.3333333333333333
346,4,3,1.3333333333333333
347,11,3,3.6666666666666665
348,6,3,2.0
349,3,3,1.0
350,4,3,1.3333333333333333
351,4,3,1.3333333333333333
352,5,2,2.5
353,4,2,2.0
354,2,2,1.0
355,3,2,1.5
356,5,2,2.5
357,2,2,1.0
358,3,2,1.5
359,3,2,1.5
360,4,2,2.0
361,7,2,3.5
362,3,2,1.5
363,3,2,1.5
364,2,2,1.0
365,2,2,1.0
366,6,2,3.0
367,12,2,6.0
368,4,2,2.0
369,13,2,6.5
370,3,2,1.5
371,3,2,1.5
372,3,2,1.5
373,3,2,1.5
374,2,2,1.0
375,6,3,2.0
376,3,3,1.0
377,5,3,1.6666666666666667
378,6,3,2.0
379,8,3,2.6666666666666665
380,6,3,2.0
381,5,3,1.6666666666666667
382,5,3,1.6666666666666667
383,5,3,1.6666666666666667
384,6,3,2.0
385,9,2,4.5
386,2,2,1.0
387,3,2,1.5
388,4,3,1.3333333333333333
389,3,3,1.0
390,2,2,1.0
391,3,2,1.5
392,2,2,1.0
393,8,3,2.6666666666666665
394,6,3,2.0
395,3,3,1.0
396,3,3,1.0
397,5,3,1.6666666666666667
398,4,2,2.0
399,4,2,2.0
400,2,2,1.0
401,4,2,2.0
402,6,2,3.0
403,3,2,1.5
404,3,2,1.5
405,3,2,1.5
406,4,2,2.0
407,3,2,1.5
408,5,2,2.5
409,5,2,2.5
410,10,3,3.3333333333333335
411,14,3,4.666666666666667
412,9,3,3.0
413,6,3,2.0
414,15,3,5.0
415,5,3,1.6666666666666667
416,5,3,1.6666666666666667
417,13,3,4.333333333333333
418,14,3,4.666666666666667
419,5,3,1.6666666666666667
420,5,3,1.6666666666666667
421,5,3,1.6666666666666667
422,13,3,4.333333333333333
423,9,3,3.0
424,6,3,2.0
425,7,3,2.3333333333333335
426,11,3,3.6666666666666665
427,10,3,3.3333333333333335
428,6,3,2.0
429,6,3,2.0
430,5,3,1.6666666666666667
431,8,3,2.6666666666666665
432,5,3,1.6666666666666667
433,5,3,1.6666666666666667
434,9,3,3.0
435,7,3,2.3333333333333335
436,5,3,1.6666666666666667
437,7,3,2.3333333333333335
438,7,3,2.3333333333333335
439,11,3,3.6666666666666665
440,8,3,2.6666666666666665
441,6,3,2.0
442,19,3,6.333333333333333
443,7,3,2.3333333333333335
444,9,3,3.0
445,10,3,3.3333333333333335
446,5,3,1.6666666666666667
447,4,3,1.3333333333333333
448,2,2,1.0
449,3,2,1.5
450,2,2,1.0
451,7,2,3.5
452,4,2,2.0
453,4,2,2.0
454,4,2,2.0
455,9,2,4.5
456,7,2,3.5
457,2,2,1.0
458,5,2,2.5
459,4,2,2.0
460,2,2,1.0
461,3,2,1.5
462,2,2,1.0
463,5,3,1.6666666666666667
464,4,3,1.3333333333333333
465,4,3,1.3333333333333333
466,5,2,2.5
467,3,2,1.5
468,3,2,1.5
469,6,3,2.0
470,6,3,2.0
471,6,3,2.0
472,4,4,1.0
473,2,2,1.0
474,5,4,1.25
475,4,3,1.3333333333333333
476,6,4,1.5
477,6,4,1.5
478,7,4,1.75
479,6,4,1.5
480,5,4,1.25
481,3,3,1.0
482,6,2,3.0
483,4,2,2.0
484,2,2,1.0
485,3,2,1.5
486,9,3,3.0
487,5,3,1.6666666666666667
488,6,3,2.0
489,13,3,4.333333333333333
490,12,3,4.0
491,10,3,3.3333333333333335
492,12,3,4.0
493,10,3,3.3333333333333335
494,7,3,2.3333333333333335
495,8,3,2.6666666666666665
496,6,3,2.0
497,4,3,1.3333333333333333
498,5,3,1.6666666666666667
499,9,3,3.0
500,7,3,2.3333333333333335
501,6,3,2.0
502,7,3,2.3333333333333335
503,7,3,2.3333333333333335
504,7,3,2.3333333333333335
505,34,3,11.333333333333334
506,8,3,2.6666666666666665
507,7,3,2.3333333333333335
508,5,3,1.6666666666666667
509,6,3,2.0
510,10,3,3.3333333333333335
511,11,3,3.6666666666666665
512,7,3,2.3333333333333335
513,7,3,2.3333333333333335
514,6,3,2.0
515,7,3,2.3333333333333335
516,5,3,1.6666666666666667
517,5,3,1.6666666666666667
518,5,3,1.6666666666666667
519,5,3,1.6666666666666667
520,6,3,2.0
521,8,3,2.6666666666666665
522,6,3,2.0
523,9,3,3.0
524,14,3,4.666666666666667
525,9,3,3.0
526,5,3,1.6666666666666667
527,6,3,2.0
528,4,3,1.3333333333333333
529,7,3,2.3333333333333335
530,4,3,1.3333333333333333
531,3,3,1.0
532,3,2,1.5
533,8,3,2.6666666666666665
534,4,3,1.3333333333333333
535,6,4,1.5
536,5,4,1.25
537,6,4,1.5
538,7,4,1.75
539,3,3,1.0
540,1,1,1.0
541,5,3,1.6666666666666667
542,3,2,1.5
543,5,2,2.5
544,8,2,4.0
545,7,2,3.5
546,29,2,14.5
547,15,2,7.5
548,10,2,5.0
549,3,3,1.0
550,4,3,1.3333333333333333
551,7,3,2.3333333333333335
552,6,3,2.0
553,6,3,2.0
554,4,3,1.3333333333333333
555,6,3,2.0
556,6,3,2.0
557,4,3,1.3333333333333333
558,4,3,1.3333333333333333
559,6,3,2.0
560,6,2,3.0
561,6,2,3.0
562,2,2,1.0
563,3,2,1.5
564,3,3,1.0
565,3,2,1.5
566,3,3,1.0
567,5,3,1.6666666666666667
568,8,3,2.6666666666666665
569,7,3,2.3333333333333335
570,3,3,1.0
571,3,2,1.5
572,5,3,1.6666666666666667
573,4,2,2.0
574,4,2,2.0
575,5,2,2.5
576,6,2,3.0
577,4,2,2.0
578,5,2,2.5
579,8,2,4.0
580,7,2,3.5
581,7,2,3.5
582,4,2,2.0
583,4,4,1.0
584,4,4,1.0
585,13,4,3.25
586,7,4,1.75
587,10,3,3.3333333333333335
588,3,2,1.5
589,3,2,1.5
590,4,2,2.0
591,5,2,2.5
592,5,2,2.5
593,3,2,1.5
594,2,2,1.0
595,3,3,1.0
596,5,3,1.6666666666666667
597,5,3,1.6666666666666667
598,4,3,1.3333333333333333
599,6,3,2.0
600,4,3,1.3333333333333333
601,10,3,3.3333333333333335
602,5,3,1.6666666666666667
603,4,3,1.3333333333333333
604,4,3,1.3333333333333333
605,6,3,2.0
606,11,3,3.6666666666666665
607,3,3,1.0
608,6,3,2.0
609,7,3,2.3333333333333335
610,3,3,1.0
611,5,3,1.6666666666666667
612,3,3,1.0
613,4,3,1.3333333333333333
614,5,3,1.6666666666666667
615,19,5,3.8
616,4,3,1.3333333333333333
617,4,2,2.0
618,6,5,1.2
619,12,3,4.0
620,4,3,1.3333333333333333
621,7,3,2.3333333333333335
622,5,4,1.25
623,4,3,1.3333333333333333
624,7,5,1.4
625,8,5,1.6
626,3,3,1.0
627,5,4,1.25
628,4,3,1.3333333333333333
629,3,3,1.0
630,6,3,2.0
631,6,3,2.0
632,3,2,1.5
633,4,2,2.0
634,9,2,4.5
635,2,2,1.0
636,3,3,1.0
637,4,3,1.3333333333333333
638,4,2,2.0
639,4,2,2.0
640,4,2,2.0
641,11,2,5.5
642,3,2,1.5
643,3,2,1.5
644,4,2,2.0
645,3,2,1.5
646,1,1,1.0
647,5,3,1.6666666666666667
648,5,3,1.6666666666666667
649,8,3,2.6666666666666665
650,5,3,1.6666666666666667
651,5,3,1.6666666666666667
652,6,2,3.0
653,4,2,2.0
654,2,2,1.0
655,3,2,1.5
656,4,3,1.3333333333333333
657,4,3,1.3333333333333333
658,4,3,1.3333333333333333
659,5,3,1.6666666666666667
660,4,3,1.3333333333333333
661,4,3,1.3333333333333333
662,3,3,1.0
663,7,3,2.3333333333333335
664,7,3,2.3333333333333335
665,9,3,3.0
666,6,3,2.0
667,4,3,1.3333333333333333
668,3,3,1.0
669,5,3,1.6666666666666667
670,5,3,1.6666666666666667
671,3,3,1.0
672,4,3,1.3333333333333333
673,5,3,1.6666666666666667
674,8,3,2.6666666666666665
675,5,3,1.6666666666666667
676,4,3,1.3333333333333333
677,7,3,2.3333333333333335
678,4,3,1.3333333333333333
679,3,3,1.0
680,8,3,2.6666666666666665
681,7,3,2.3333333333333335
682,4,3,1.3333333333333333
683,4,2,2.0
684,3,2,1.5
685,5,2,2.5
686,2,2,1.0
687,4,3,1.3333333333333333
688,10,2,5.0
689,5,3,1.6666666666666667
690,5,3,1.6666666666666667
691,4,3,1.3333333333333333
692,6,3,2.0
693,6,3,2.0
694,15,3,5.0
695,4,3,1.3333333333333333
696,8,3,2.6666666666666665
697,4,3,1.3333333333333333
698,5,3,1.6666666666666667
699,4,3,1.3333333333333333
700,4,3,1.3333333333333333
701,3,3,1.0
702,3,3,1.0
703,3,3,1.0
704,9,3,3.0
705,5,3,1.6666666666666667
706,4,3,1.3333333333333333
707,7,3,2.3333333333333335
708,4,3,1.3333333333333333
709,3,3,1.0
710,7,3,2.3333333333333335
711,4,3,1.3333333333333333
712,4,3,1.3333333333333333
713,1,1,1.0
714,3,3,1.0
715,5,3,1.6666666666666667
716,3,3,1.0
717,4,3,1.3333333333333333
718,6,3,2.0
719,5,4,1.25
720,4,4,1.0
721,10,4,2.5
722,5,4,1.25
723,5,4,1.25
724,10,4,2.5
725,5,2,2.5
726,7,2,3.5
727,4,2,2.0
728,7,2,3.5
729,5,2,2.5
730,5,2,2.5
731,1,1,1.0
732,3,2,1.5
733,3,2,1.5
734,5,2,2.5
735,5,4,1.25
736,5,2,2.5
737,4,2,2.0
738,3,2,1.5
739,2,2,1.0
740,2,2,1.0
741,3,2,1.5
742,2,2,1.0
743,3,2,1.5
744,5,3,1.6666666666666667
745,65,3,21.666666666666668
746,3,3,1.0
747,11,3,3.6666666666666665
748,6,3,2.0
749,4,3,1.3333333333333333
750,7,3,2.3333333333333335
751,17,3,5.666666666666667
752,7,3,2.3333333333333335
753,4,3,1.3333333333333333
754,8,3,2.6666666666666665
755,6,3,2.0
756,4,3,1.3333333333333333
757,4,3,1.3333333333333333
758,6,3,2.0
759,5,3,1.6666666666666667
760,6,3,2.0
761,5,3,1.6666666666666667
762,4,3,1.3333333333333333
763,4,3,1.3333333333333333
764,8,3,2.6666666666666665
765,5,3,1.6666666666666667
766,5,3,1.6666666666666667
767,3,3,1.0
768,4,3,1.3333333333333333
769,6,3,2.0
770,3,3,1.0
771,3,3,1.0
772,10,3,3.3333333333333335
773,4,3,1.3333333333333333
774,5,3,1.6666666666666667
775,4,3,1.3333333333333333
776,4,3,1.3333333333333333
777,8,3,2.6666666666666665
778,4,3,1.3333333333333333
779,6,3,2.0
780,12,3,4.0
781,5,3,1.6666666666666667
782,10,3,3.3333333333333335
783,6,3,2.0
784,7,3,2.3333333333333335
785,6,3,2.0
786,4,3,1.3333333333333333
787,35,3,11.666666666666666
788,5,3,1.6666666666666667
789,4,3,1.3333333333333333
790,10,3,3.3333333333333335
791,6,3,2.0
792,7,3,2.3333333333333335
793,7,3,2.3333333333333335
794,7,3,2.3333333333333335
795,12,3,4.0
796,11,3,3.6666666666666665
797,9,3,3.0
798,4,3,1.3333333333333333
799,6,3,2.0
800,4,3,1.3333333333333333
801,5,3,1.6666666666666667
802,6,3,2.0
803,11,3,3.6666666666666665
804,4,3,1.3333333333333333
805,10,3,3.3333333333333335
806,10,3,3.3333333333333335
807,4,3,1.3333333333333333
808,6,3,2.0
809,16,3,5.333333333333333
810,6,3,2.0
811,2,2,1.0
812,3,2,1.5
813,6,4,1.5
814,7,4,1.75
815,4,3,1.3333333333333333
816,8,3,2.6666666666666665
817,29,3,9.666666666666666
818,4,3,1.3333333333333333
819,20,3,6.666666666666667
820,3,2,1.5
821,4,2,2.0
822,7,3,2.3333333333333335
823,7,3,2.3333333333333335
824,3,3,1.0
825,6,3,2.0
826,4,3,1.3333333333333333
827,6,3,2.0
828,4,3,1.3333333333333333
829,4,3,1.3333333333333333
830,3,3,1.0
831,5,3,1.6666666666666667
832,8,3,2.6666666666666665
833,19,4,4.75
834,3,3,1.0
835,6,4,1.5
836,8,4,2.0
837,6,4,1.5
838,5,4,1.25
839,6,4,1.5
840,5,4,1.25
841,5,4,1.25
842,5,4,1.25
843,7,3,2.3333333333333335
844,4,3,1.3333333333333333
845,3,3,1.0
846,4,3,1.3333333333333333
847,4,3,1.3333333333333333
848,5,3,1.6666666666666667
849,6,3,2.0
850,4,2,2.0
851,4,2,2.0
852,7,2,3.5
853,4,2,2.0
854,4,2,2.0
855,4,2,2.0
856,4,2,2.0
857,4,2,2.0
858,4,2,2.0
859,9,3,3.0
860,4,3,1.3333333333333333
861,4,3,1.3333333333333333
862,4,2,2.0
863,3,2,1.5
864,5,3,1.6666666666666667
865,3,2,1.5
866,3,3,1.0
867,7,3,2.3333333333333335
868,4,3,1.3333333333333333
869,4,2,2.0
870,3,2,1.5
871,2,2,1.0
872,4,2,2.0
873,6,2,3.0
874,5,2,2.5
875,4,2,2.0
876,3,2,1.5
877,3,3,1.0
878,5,4,1.25
879,4,4,1.0
880,7,3,2.3333333333333335
881,4,3,1.3333333333333333
882,4,3,1.3333333333333333
883,4,3,1.3333333333333333
884,4,3,1.3333333333333333
885,3,3,1.0
886,3,3,1.0
887,4,3,1.3333333333333333
888,4,3,1.3333333333333333
889,9,2,4.5
890,4,2,2.0
891,8,2,4.0
892,64,2,32.0
893,7,2,3.5
894,7,2,3.5
895,5,2,2.5
896,5,2,2.5
897,6,2,3.0
898,6,2,3.0
899,9,2,4.5
900,8,2,4.0
901,5,2,2.5
902,5,2,2.5
903,5,2,2.5
904,3,2,1.5
905,11,2,5.5
906,3,2,1.5
907,3,2,1.5
908,9,2,4.5
909,13,2,6.5
910,5,2,2.5
911,7,2,3.5
912,8,2,4.0
913,6,2,3.0
914,17,2,8.5
915,7,2,3.5
916,7,2,3.5
917,5,2,2.5
918,6,2,3.0
919,5,2,2.5
920,5,2,2.5
921,16,3,5.333333333333333
922,3,3,1.0
923,11,3,3.6666666666666665
924,8,3,2.6666666666666665
925,7,3,2.3333333333333335
926,2,2,1.0
927,9,4,2.25
928,6,4,1.5
929,6,4,1.5
930,5,4,1.25
931,8,4,2.0
932,8,4,2.0
933,8,4,2.0
934,7,4,1.75
935,5,4,1.25
936,8,4,2.0
937,11,5,2.2
938,8,5,1.6
939,3,3,1.0
940,11,3,3.6666666666666665
941,5,4,1.25
942,10,4,2.5
943,5,4,1.25
944,7,4,1.75
945,6,4,1.5
946,4,4,1.0
947,4,4,1.0
948,6,4,1.5
949,8,4,2.0
950,5,4,1.25
951,5,4,1.25
952,6,4,1.5
953,7,4,1.75
954,10,4,2.5
955,7,4,1.75
956,5,4,1.25
957,8,4,2.0
958,9,4,2.25
959,7,4,1.75
960,2,1,2.0
961,3,2,1.5
962,9,2,4.5
963,3,3,1.0
964,7,3,2.3333333333333335
965,3,3,1.0
966,4,3,1.3333333333333333
967,5,3,1.6666666666666667
968,5,3,1.6666666666666667
969,3,1,3.0
970,3,2,1.5
971,3,3,1.0
972,6,3,2.0
973,1,1,1.0
974,15,4,3.75
975,10,3,3.3333333333333335
976,2,2,1.0
977,5,3,1.6666666666666667
978,7,3,2.3333333333333335
979,5,3,1.6666666666666667
980,4,2,2.0
981,6,2,3.0
982,9,2,4.5
983,4,2,2.0
984,10,3,3.3333333333333335
985,23,3,7.666666666666667
986,7,3,2.3333333333333335
987,5,2,2.5
988,3,3,1.0
989,9,4,2.25
990,5,3,1.6666666666666667
991,8,3,2.6666666666666665
992,6,3,2.0
993,4,3,1.3333333333333333
994,3,3,1.0
995,3,2,1.5
996,5,3,1.6666666666666667
997,4,3,1.3333333333333333
998,5,3,1.6666666666666667
999,3,3,1.0
1000,3,3,1.0
1001,3,3,1.0
1002,3,3,1.0
1003,3,3,1.0
1004,3,3,1.0
1005,7,3,2.3333333333333335
1006,6,3,2.0
1007,3,3,1.0
1008,10,3,3.3333333333333335
1009,7,3,2.3333333333333335
1010,1,1,1.0
1011,5,3,1.6666666666666667
1012,6,3,2.0
1013,4,3,1.3333333333333333
1014,3,3,1.0
1015,5,3,1.6666666666666667
1016,6,2,3.0
1017,4,2,2.0
1018,5,2,2.5
1019,9,2,4.5
1020,4,3,1.3333333333333333
1021,4,3,1.3333333333333333
1022,3,3,1.0
1023,4,3,1.3333333333333333
1024,4,2,2.0
1025,3,2,1.5
1026,8,4,2.0
1027,2,2,1.0
1028,3,3,1.0
1029,4,2,2.0
1030,3,2,1.5
1031,3,2,1.5
1032,4,3,1.3333333333333333
1033,4,2,2.0
1034,4,2,2.0
1035,5,2,2.5
1036,6,2,3.0
1037,3,2,1.5
1038,4,2,2.0
1039,7,2,3.5
1040,6,2,3.0
1041,7,2,3.5
1042,5,2,2.5
1043,3,2,1.5
1044,9,2,4.5
1045,3,2,1.5
1046,4,3,1.3333333333333333
1047,3,3,1.0
1048,5,3,1.6666666666666667
1049,3,3,1.0
1050,3,3,1.0
1051,6,4,1.5
1052,5,3,1.6666666666666667
1053,3,3,1.0
1054,3,2,1.5
1055,12,2,6.0
1056,7,2,3.5
1057,3,2,1.5
1058,2,2,1.0
1059,2,2,1.0
1060,2,2,1.0
1061,3,3,1.0
1062,10,2,5.0
1063,7,2,3.5
1064,3,2,1.5
1065,4,2,2.0
1066,3,2,1.5
1067,4,3,1.3333333333333333
1068,6,4,1.5
1069,8,4,2.0
1070,16,4,4.0
1071,3,3,1.0
1072,5,2,2.5
1073,4,3,1.3333333333333333
1074,3,3,1.0
1075,4,3,1.3333333333333333
1076,5,2,2.5
1077,5,2,2.5
1078,10,4,2.5
1079,4,4,1.0
1080,8,4,2.0
1081,8,4,2.0
1082,5,4,1.25
1083,6,2,3.0
1084,8,3,2.6666666666666665
1085,7,5,1.4
1086,3,2,1.5
1087,2,2,1.0
1088,2,2,1.0
1089,3,3,1.0
1090,5,3,1.6666666666666667
1091,3,3,1.0
1092,6,4,1.5
1093,7,4,1.75
1094,4,4,1.0
1095,6,4,1.5
1096,6,4,1.5
1097,18,4,4.5
1098,5,4,1.25
1099,5,4,1.25
1100,10,3,3.3333333333333335
1101,5,3,1.6666666666666667
1102,3,3,1.0
1103,3,3,1.0
1104,3,3,1.0
1105,3,3,1.0
1106,1,1,1.0
1107,3,2,1.5
1108,2,2,1.0
1109,7,3,2.3333333333333335
1110,3,3,1.0
1111,5,3,1.6666666666666667
1112,4,3,1.3333333333333333
1113,6,3,2.0
1114,6,3,2.0
1115,5,3,1.6666666666666667
1116,4,3,1.3333333333333333
1117,4,3,1.3333333333333333
1118,10,3,3.3333333333333335
1119,5,3,1.6666666666666667
1120,4,3,1.3333333333333333
1121,5,3,1.6666666666666667
1122,5,3,1.6666666666666667
1123,6,3,2.0
1124,6,3,2.0
1125,5,3,1.6666666666666667
1126,4,3,1.3333333333333333
1127,4,3,1.3333333333333333
1128,5,3,1.6666666666666667
1129,4,3,1.3333333333333333
1130,4,3,1.3333333333333333
1131,4,3,1.3333333333333333
1132,6,3,2.0
1133,3,3,1.0
1134,3,3,1.0
1135,4,3,1.3333333333333333
1136,3,3,1.0
1137,3,3,1.0
1138,6,3,2.0
1139,5,3,1.6666666666666667
1140,5,3,1.6666666666666667
1141,5,3,1.6666666666666667
1142,4,3,1.3333333333333333
1143,5,3,1.6666666666666667
1144,4,3,1.3333333333333333
1145,4,3,1.3333333333333333
1146,6,3,2.0
1147,5,3,1.6666666666666667
1148,3,3,1.0
1149,5,3,1.6666666666666667
1150,8,3,2.6666666666666665
1151,6,3,2.0
1152,5,3,1.6666666666666667
1153,3,3,1.0
1154,5,3,1.6666666666666667
1155,4,3,1.3333333333333333
1156,23,3,7.666666666666667
1157,6,3,2.0
1158,7,3,2.3333333333333335
1159,3,3,1.0
1160,3,3,1.0
1161,5,3,1.6666666666666667
1162,3,3,1.0
1163,15,4,3.75
1164,5,4,1.25
1165,5,4,1.25
1166,6,4,1.5
1167,4,4,1.0
1168,4,4,1.0
1169,7,4,1.75
1170,5,4,1.25
1171,6,4,1.5
1172,4,4,1.0
1173,4,4,1.0
1174,4,4,1.0
1175,5,4,1.25
1176,4,4,1.0
1177,5,4,1.25
1178,4,4,1.0
1179,4,4,1.0
1180,4,4,1.0
1181,4,4,1.0
1182,4,4,1.0
1183,2,2,1.0
